Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2012-05-18,37.99576187133789,44.724282100009326,37.767171551118984,41.792356181854956,573576400
2012-05-21,33.82149887084961,36.43538606880356,32.79781083674485,36.30618150999695,168192700
2012-05-22,30.810068130493164,33.3841997807906,30.75043627134871,32.41020453355985,101786600
2012-05-23,31.803939819335938,32.30087637901306,31.16786162956123,31.177800588234277,73600000
2012-05-24,32.8276252746582,33.00652272503711,31.57534691333061,32.748117403003555,50237200
2012-05-25,31.714488983154297,32.74811786863476,30.91939129867887,32.698424974228445,37149800
2012-05-29,28.663297653198242,31.495836100271205,28.47446125121676,31.287121783204867,78063400
2012-05-30,28.01728057861328,29.36894657814204,27.689302562358073,28.524156039309936,57267900
2012-05-31,29.418643951416016,29.488214764666093,26.66561502702373,28.375076065677383,111639200
2012-06-01,27.55016326904297,28.971402188893666,27.22218520258993,28.712994940224213,41855500
2012-06-04,26.735183715820312,27.480588476832004,26.278003038984394,27.03334675762239,35230300
2012-06-05,25.711498260498047,27.589917836951688,25.592232652878558,26.53641286824006,42473400
2012-06-06,26.645736694335938,27.00353160908085,25.36364140927077,25.910270843986645,61489200
2012-06-07,26.148799896240234,27.18242879719229,25.98978035696491,26.8345728441541,26159500
2012-06-08,26.933961868286133,27.589917974302555,26.27800576226971,26.387330516164095,38034000
2012-06-11,26.844512939453125,27.898017905694353,26.675554434858185,27.013471444048065,28219600
2012-06-12,27.232120513916016,27.599854367366138,26.79481585200131,27.31163028011302,15816800
2012-06-13,27.102920532226562,27.927835148887485,26.93396202540866,27.49053044377129,17102800
2012-06-14,28.116670608520508,28.146485587977967,27.212244353173865,27.480590542265865,16855000
2012-06-15,29.82613182067871,29.915580550918445,28.176302633954148,28.335322177566454,43563800
2012-06-18,31.217552185058594,31.883449096553747,29.229806095487657,29.776435511854707,42978900
2012-06-19,31.714488983154297,31.982835162538155,30.51190349842741,31.346757014957813,30849000
2012-06-20,31.406389236450195,31.734367272108344,30.959145598887975,31.724428313977803,15553600
2012-06-21,31.64491844177246,32.30087451095737,31.316940407180006,31.47595994542711,21875300
2012-06-22,32.847503662109375,33.24505440006592,31.863571462220392,32.21142551443876,74834000
2012-06-25,31.863569259643555,32.81768641519591,31.356691914220733,32.65866688927051,24352900
2012-06-26,32.89720153808594,33.23511857912172,32.30087913217593,32.4897136760715,24858700
2012-06-27,32.03253173828125,32.698428732093404,31.704553668784474,32.261122111880866,28568000
2012-06-28,31.16786003112793,31.99277270639755,30.710677433926914,31.764182355628257,17713300
2012-06-29,30.90945053100586,31.793996890154933,30.571533560972266,31.724426083794302,19526900
2012-07-02,30.58147430419922,31.53559152542428,30.362821019255005,31.05853291481175,14122000
2012-07-03,31.008838653564453,31.24736794835651,30.611287933248704,30.720614570901766,8763600
2012-07-05,31.277185440063477,31.43620498270982,30.82994368724406,31.128104855790337,10032100
2012-07-06,31.53558921813965,31.704547700660964,31.068469599715907,31.24736703952227,10945600
2012-07-09,31.9728946685791,32.67854742585714,31.79399910930624,31.903323857362583,17785200
2012-07-10,31.277185440063477,32.280997487807575,30.969085313143992,32.23130459160402,14269500
2012-07-11,30.780248641967773,31.366633911521955,30.362821872042126,31.28712414085338,13030300
2012-07-12,30.62122917175293,31.207614442669076,30.412516734136574,30.511904421618752,11300700
2012-07-13,30.531780242919922,30.879636199001485,30.372760702253345,30.849821219915533,8108300
2012-07-16,28.076913833618164,30.313128209747045,28.037158001457914,30.313128209747045,24672100
2012-07-17,27.91789436340332,28.41483089262636,26.983653157678532,28.30550424958532,30438600
2012-07-18,28.9316463470459,29.110543807111707,27.977527191915744,28.136546735160355,16841800
2012-07-19,28.82231903076172,29.31925556577485,28.454585160760526,29.229806837819492,13685100
2012-07-20,28.583791732788086,29.289440752243106,28.544035897271566,28.82232105889947,11869100
2012-07-23,28.573850631713867,28.822318898076595,27.83838479075968,27.94771143457126,12390700
2012-07-24,28.27568817138672,29.269561191180102,27.927832235326566,28.643420127139358,11539800
2012-07-25,29.160236358642578,29.30931694171351,27.907956048654327,28.216056173089246,17230200
2012-07-26,26.68549156188965,28.05703552601812,26.566225962735597,27.579976920726686,64597400
2012-07-27,23.564729690551758,24.389646162365352,22.14349278612746,23.04791713242585,123102300
2012-07-30,23.008161544799805,23.892709879737964,22.888897836138742,23.852954046409295,29285900
2012-07-31,21.576982498168945,23.226813466380257,21.477596712036064,23.226813466380257,56179400
2012-08-01,20.752071380615234,21.447783372131966,20.71231743874544,21.36827359272971,44604400
2012-08-02,19.917217254638672,20.71231495324877,19.698563965774063,20.642744141578195,56374500
