Episode,DDQN,DQN,MDA2C,MDREINFORCE,DDPG
1,2112.681930541992,2112.681930541992,95756.96002197266,91430.40615844728,191116.12954711917
2,86.0655746459961,86.0655746459961,261907.44889831543,255502.65084838867,286350.0543060303
3,-1138.028564453125,-1138.028564453125,97548.62199401855,134129.02807617188,-3866.742126464844
4,5315.348846435547,5315.348846435547,175404.06637573242,195410.0647583008,176607.73443603516
5,4592.162376403809,4592.162376403809,79653.94079589844,37777.70623779297,162263.05535888672
6,3887.496513366699,3887.496513366699,252944.53987121585,222747.51524353027,182580.23782348636
7,945.9043807983398,945.9043807983398,-5006.020172119141,110897.27474975586,89905.4719543457
8,58.13446807861328,58.13446807861328,127442.85635375977,117871.08494567873,233238.39596557617
9,-273.7898406982422,-273.7898406982422,-218487.57342529297,-21368.16456604004,-185435.4322814941
10,-8443.54061126709,-8443.54061126709,106814.26473999023,127705.9263305664,-3643.042144775391
11,-37.99959564208984,-37.99959564208984,-100678.36570739746,89989.69827270508,-5676.258758544922
12,-1426.31005859375,-1426.31005859375,-83924.53053283691,-61057.259185791016,-112296.78839111328
13,-2372.5590209960938,-2372.5590209960938,-13437.55810546875,66052.82113647461,51832.81381225586
14,2287.2872009277344,2287.2872009277344,94043.3755493164,292964.468460083,177500.48669433594
15,721.1747894287109,721.1747894287109,-65053.03163146973,-280400.1855163574,-180027.67056274414
16,3156.77872467041,3156.77872467041,-46686.6455078125,-146808.8521118164,-151426.41973876953
17,-45.86109161376953,-45.86109161376953,4683.562759399414,88270.6170501709,-3808.677978515625
18,-1447.7276992797852,-1447.7276992797852,-13613.143447875977,104539.41427612305,-7463.323165893555
19,-132.62166595458984,-132.62166595458984,-10679.345016479492,94546.73065948486,159297.30709838867
20,-1463.4358520507812,-1463.4358520507812,-7231.600036621094,165492.72673034668,37215.54586791992
21,-1218.9953689575195,-1218.9953689575195,107.08078002929688,125752.731300354,174137.45935058594
22,-351.8044128417969,-351.8044128417969,12946.35659790039,71484.14123535156,90788.83215332033
23,-4828.021858215332,-4828.021858215332,-7409.290344238281,123967.79747009276,205943.012878418
24,-1526.2416076660156,-1526.2416076660156,3829.752227783203,172801.1300048828,90425.70713806152
25,1351.868637084961,1351.868637084961,-3383.4402465820312,87244.41117858887,64735.05993652344
26,2573.912048339844,2573.912048339844,-365.14219665527344,302930.7074279785,189839.78582763672
27,3443.9809494018555,3443.9809494018555,-3407.7383880615234,146737.52774047852,214206.3736114502
28,-3831.3923873901367,-3831.3923873901367,-44421.24885559082,-222175.83451843265,-188154.08403015137
29,1021.8162841796876,1021.8162841796876,5503.158355712891,143915.9300994873,134745.3606109619
30,2351.876625061035,2351.876625061035,2056.3313751220703,101283.54356384276,119939.287399292
31,1339.7525482177734,1339.7525482177734,-4558.86247253418,168395.07180786133,37147.130615234375
32,1200.5000457763672,1200.5000457763672,-33357.50456237793,-106800.12825012208,-117251.60417175292
33,-4215.157035827637,-4215.157035827637,-51699.83352661133,-87607.63327026367,-153758.9662322998
34,-3302.103309631348,-3302.103309631348,800.4726715087891,326383.46757507324,196319.25999450684
35,1566.8664855957031,1566.8664855957031,5512.068115234375,18696.489486694336,-16347.38688659668
36,83.94657897949219,83.94657897949219,-12015.56900024414,-92501.60397338869,-152886.29138183594
37,-984.1999816894532,-984.1999816894532,-18189.05508422852,-121689.55778503418,-139346.2359161377
38,885.0831756591797,885.0831756591797,44046.08583068848,100794.78720092772,161096.18139648438
39,1058.4735870361328,1058.4735870361328,-9227.29362487793,173517.57669067383,80375.02673339844
40,1437.1965637207031,1437.1965637207031,22692.80539703369,92975.92263793944,145415.04698181152
41,4968.411529541016,4968.411529541016,-33603.76284790039,-284238.0083465576,-189772.568069458
42,-3277.778160095215,-3277.778160095215,26708.16521453857,103791.89135742188,65236.1330871582
43,524.3517227172852,524.3517227172852,-33912.59925079346,-55502.91844177246,-113489.779006958
44,-983.9083786010742,-983.9083786010742,13799.062103271484,150860.44151306152,102766.74438476562
45,349.4045104980469,349.4045104980469,-12103.714836120604,-48035.06813049317,-112450.56967163086
46,2517.162757873535,2517.162757873535,-10848.755294799805,-163341.1399383545,-104885.39462280272
47,814.0382461547852,814.0382461547852,-41410.82051849365,-55502.91844177246,-111921.5140991211
48,1971.5109558105469,1971.5109558105469,-26206.79933166504,-257056.41268920896,-150053.71505737305
49,1779.2544555664062,1779.2544555664062,72361.5209197998,223399.08624267575,103509.03158569336
50,477.2055969238281,477.2055969238281,-62867.89750671387,-90342.09648132324,-122613.73556518556
51,-1143.3835067749023,-1143.3835067749023,71707.53462219238,76423.80271911621,88888.51554870605
52,2576.2192611694336,2576.2192611694336,28730.267486572266,150860.44151306152,103365.68672180176
53,3270.556816101074,3270.556816101074,61161.72161865234,255355.7859802246,120900.29052734376
54,-2646.7647552490234,-2646.7647552490234,71787.4140625,107040.83067321776,95951.23849487305
55,1761.4326400756836,1761.4326400756836,57975.07409667969,132791.3934173584,174289.25030517578
56,1342.465560913086,1342.465560913086,83740.84384155273,130533.40115356444,118948.32595825195
57,-2678.6071166992188,-2678.6071166992188,69630.04077148438,166562.47467041016,96891.74572753906
58,-7016.8308029174805,-7016.8308029174805,69628.56393432617,166562.47467041016,96814.1199798584
59,2098.9427642822266,2098.9427642822266,66064.59085083008,119064.3914489746,125947.76721191406
60,1399.3461456298828,1399.3461456298828,-69503.81475830078,-139431.267578125,-168198.92211914062
61,1973.7579040527344,1973.7579040527344,-15929.770629882812,-163998.83122253418,-101478.61502075195
62,4864.297981262207,4864.297981262207,-8262.315460205078,-48035.06813049317,-112945.57440185548
63,3299.9474716186523,3299.9474716186523,-27090.51696777344,-121689.55778503418,-138708.2691192627
64,2325.1647186279297,2325.1647186279297,76580.85073852539,64290.139389038086,72004.00619506836
65,1795.444076538086,1795.444076538086,-8231.854736328125,-48035.06813049317,-114609.88543701172
66,-5126.64778137207,-5126.64778137207,-26496.223205566406,-137897.62478637695,-162002.08041381836
67,-2320.71883392334,-2320.71883392334,-24624.00134277344,-51543.48677062988,-113969.36627197266
68,1746.673095703125,1746.673095703125,60179.924156188965,94868.15873718262,157430.82891845703
69,-1187.6570510864258,-1187.6570510864258,65497.629821777344,92905.7445526123,145585.00036621094
70,2300.26033782959,2300.26033782959,-21721.57635498047,-58788.10374450684,-86689.87741088867
71,1083.4488983154297,1083.4488983154297,79174.72359466553,252252.39863586423,253977.68128967285
72,-1115.799560546875,-1115.799560546875,58454.554443359375,255355.7859802246,120550.65490722656
73,5725.230674743652,5725.230674743652,-18701.079345703125,-257056.41268920896,-151882.15437316897
74,1096.233627319336,1096.233627319336,-33857.03552246094,-236174.9793395996,-198388.77500915527
75,-2270.4988861083984,-2270.4988861083984,69499.32308959961,166562.47467041016,96775.03453063963
76,1283.9173126220703,1283.9173126220703,-18701.079345703125,-257056.41268920896,-149850.8660736084
77,-1667.3422012329102,-1667.3422012329102,-55530.35000610352,177641.8664703369,47117.25573730469
78,-476.0398559570313,-476.0398559570313,70753.61596679688,72410.38529968262,91418.94888305664
79,1382.311782836914,1382.311782836914,80187.0329284668,324636.4813690185,237397.4833068848
80,3723.281608581543,3723.281608581543,91529.456199646,324636.4813690185,237569.739440918
81,802.7015228271484,802.7015228271484,83203.81072998047,324636.4813690185,237355.06092834476
82,2282.5480422973637,2282.5480422973637,72243.21353149414,72410.38529968262,91191.5139465332
83,2426.2682571411133,2426.2682571411133,49603.87880706787,116416.41860961914,160751.01077270508
84,2857.3891220092773,2857.3891220092773,58262.13737487793,91950.42820739746,145259.75379943848
85,1314.4156951904297,1314.4156951904297,72124.80828857422,72410.38529968262,90395.60810852052
86,-165.75809478759766,-165.75809478759766,-27269.652282714844,-226925.4866027832,-111013.38276672363
87,-792.1833267211914,-792.1833267211914,56939.92227172852,110467.89527893066,121271.76663208008
88,1851.4455108642576,1851.4455108642576,14811.008361816406,17753.098403930664,-16364.991958618164
89,1893.3918533325195,1893.3918533325195,74335.7544555664,252252.39863586423,253914.34329223636
90,1123.4365768432615,1123.4365768432615,64153.02740478516,104573.83532714844,108782.28408813477
91,-4033.011650085449,-4033.011650085449,63237.13720703125,155286.5198059082,44907.23550415039
92,1598.5628128051758,1598.5628128051758,-18228.14227294922,-182561.37196350095,-107908.26025390624
93,2935.6834259033203,2935.6834259033203,3545.701690673828,143833.97944641113,184718.3726043701
94,-2127.9436264038086,-2127.9436264038086,47030.98889160156,92558.51554870604,144891.4312286377
95,-2715.207099914551,-2715.207099914551,54236.79069519043,92506.77447509766,144970.65251159668
96,-873.6638031005859,-873.6638031005859,69630.04077148438,166562.47467041016,97038.28915405272
97,1975.2786865234373,1975.2786865234373,57949.287353515625,94868.15873718262,157482.59384155273
98,3533.112678527832,3533.112678527832,66927.9096069336,124583.05694580078,93290.63143920898
99,-4592.177436828613,-4592.177436828613,65497.629821777344,92905.7445526123,145479.41207885742
