Episode,Reward,Moving_Avg_Window_500
1,91430.40615844727,91430.40615844727
2,255502.65084838867,173466.52850341797
3,134129.02807617188,160354.0283610026
4,195410.06475830078,169118.03746032715
5,37777.70623779297,142849.97121582032
6,222747.51524353027,156166.22855377197
7,110897.27474975586,149699.23515319824
8,117871.08494567871,145720.7163772583
9,-21368.16456604004,127155.28516133626
10,127705.9263305664,127210.34927825928
11,89989.69827270508,123826.6537322998
12,-61057.259185791016,108419.66098912556
13,66052.82113647461,105160.67330815241
14,292964.468460083,118575.2301047189
15,-280400.1855163574,91976.8690633138
16,-146808.8521118164,77052.76148986816
17,88270.6170501709,77712.63534635656
18,104539.41427612305,79203.01195356582
19,94546.73065948486,80010.5760959826
20,165492.72673034668,84284.68362770081
21,125752.731300354,86259.35256449382
22,71484.14123535156,85587.7520495328
23,123967.79747009277,87256.44967651367
24,172801.1300048828,90820.81135686238
25,87244.41117858887,90677.75534973145
26,302930.7074279785,98841.33042966403
27,146737.52774047852,100615.2636633979
28,-222175.83451843262,89087.01015690395
29,143915.9300994873,90977.66256871716
30,101283.54356384277,91321.19193522136
31,168395.07180786133,93807.44612466135
32,-106800.12825012207,87538.45942544937
33,-87607.63327026367,82231.00207103383
34,326383.46757507324,89411.95693879969
35,18696.489486694336,87391.51501159668
36,-92501.60397338867,82394.48392868042
37,-121689.55778503418,76878.69901749895
38,100794.78720092773,77508.06975916812
39,173517.57669067383,79969.8519881811
40,92975.92263793945,80295.00375442505
41,-284238.0083465576,71403.95467879133
42,103791.89135742188,72175.09602828253
43,-55502.91844177246,69205.83987781614
44,150860.44151306152,71061.62627861717
45,-48035.068130493164,68415.03306952583
46,-163341.1399383545,63376.85539544147
47,-55502.91844177246,60847.498505287986
48,-257056.41268920898,54224.500355402626
49,223399.08624267578,57677.04292453065
50,-90342.09648132324,54716.66013641357
51,76423.80271911621,55142.29038313324
52,150860.44151306152,56983.024058708776
53,255355.7859802246,60725.906359114735
54,107040.83067321777,61583.59014270924
55,132791.3934173584,62878.277474975584
56,130533.40115356445,64086.40468352182
57,166562.47467041016,65884.23047276547
58,166562.47467041016,67620.06226927659
59,119064.39144897461,68492.00005198333
60,-139431.267578125,65026.61225814819
61,-163998.83122253418,61272.09679125176
62,-48035.068130493164,59509.07800219136
63,-121689.55778503418,56632.909180171904
64,64290.139389038086,56752.55340218544
65,-48035.068130493164,55140.43614783654
66,-137897.62478637695,52215.6170427727
67,-51543.48677062988,50666.973702274154
68,94868.15873718262,51316.9911292581
69,92905.7445526123,51919.72668611831
70,-58788.103744506836,50338.18625139509
71,252252.39863586426,53182.04839765522
72,255355.7859802246,55990.016975190905
73,-257056.41268920898,51701.70971951419
74,-236174.9793395996,47811.48419168833
75,166562.47467041016,49394.830731404625
76,-257056.41268920898,45362.57752850181
77,177641.8664703369,47080.49037190227
78,72410.38529968262,47405.23261456612
79,324636.48136901855,50914.48892791362
80,324636.48136901855,54336.01383342743
81,324636.48136901855,57673.0566425088
82,72410.38529968262,57852.780162718234
83,116416.41860961914,58558.366168102584
84,91950.42820739746,58955.89071618943
85,72410.38529968262,59114.17888775994
86,-226925.4866027832,55788.13626577688
87,110467.89527893066,56416.639242939564
88,17753.098403930664,55977.28082431446
89,252252.39863586426,58182.61922669143
90,104573.83532714844,58698.07718336317
91,155286.5198059082,59759.48864075378
92,-182561.37196350098,57125.56624288145
93,143833.97944641113,58057.914771951655
94,92558.51554870605,58424.94243978947
95,92506.77447509766,58783.69856647692
96,166562.47467041016,59906.39415089289
97,94868.15873718262,60266.82471363815
98,124583.05694580078,60923.112797639806
99,92905.7445526123,61246.16968405367
100,-142292.73680114746,59210.78061920166
101,156806.14916992188,60177.07139693156
102,135265.8773651123,60913.23616132549
103,-234296.8023071289,58047.119282990985
104,152784.8316192627,58958.058824685904
105,-106578.95950317383,57381.515792992
106,-120126.67771911621,55706.91019382117
107,224575.9984741211,57285.12597214173
108,-106578.95950317383,55767.86592144436
109,68612.0604095459,55885.702568124194
110,206041.27697753906,57250.75324457342
111,-80237.01850891113,56012.1246702177
112,302515.793838501,58213.05028779166
113,337190.41035461426,60681.876483073276
114,125381.54522705078,61249.417436967815
115,94868.15873718262,61541.75431783925
116,124583.05694580078,62085.213823252714
117,-226925.4866027832,59615.03689653445
