Episode,Reward,Moving_Avg_Window_500
1,95756.96002197266,95756.96002197266
2,261907.44889831543,178832.20446014404
3,97548.62199401855,151737.67697143555
4,175404.06637573242,157654.27432250977
5,79653.94079589844,142054.2076171875
6,252944.53987121582,160535.92965952554
7,-5006.020172119141,136887.0796835763
8,127442.85635375977,135706.55176734924
9,-218487.57342529297,96351.64896816677
10,106814.26473999023,97397.91054534912
11,-100678.36570739746,79390.97634055397
12,-83924.53053283691,65781.35076777141
13,-13437.55810546875,59687.58854675293
14,94043.3755493164,62141.57333265032
15,-65053.03163146973,53661.93300170898
16,-46686.6455078125,47390.14684486389
17,4683.562759399414,44877.99483983657
18,-13613.143447875977,41628.487157185875
19,-10679.345016479492,38875.44335857191
20,-7231.600036621094,36570.09118881226
21,107.08078002929688,34833.75735982259
22,12946.35659790039,33838.87550700794
23,-7409.290344238281,32045.47699173637
24,3829.752227783203,30869.821793238323
25,-3383.4402465820312,29499.691311645507
26,-365.14219665527344,28351.043869018555
27,-3407.7383880615234,27174.792674311884
28,-44421.24885559082,24617.791191101074
29,5503.158355712891,23958.665920915275
30,2056.3313751220703,23228.58810272217
31,-4558.86247253418,22332.218729326803
32,-33357.50456237793,20591.91487646103
33,-51699.83352661133,18401.255833943684
34,800.4726715087891,17883.585740930896
35,5512.068115234375,17530.113808768136
36,-12015.56900024414,16709.400397406684
37,-18189.055084228516,15766.19889790303
38,44046.08583068848,16510.406448765803
39,-9227.29362487793,15850.465421236479
40,22692.80539703369,16021.523920631409
41,-33603.76284790039,14811.151072618439
42,26708.165214538574,15094.413314092726
43,-33912.59925079346,13954.715347467467
44,13799.062103271484,13951.17777373574
45,-12103.714836120605,13372.180160183376
46,-10848.755294799805,12845.638085075047
47,-41410.82051849365,11691.245348828905
48,-26206.79933166504,10901.702751318613
49,72361.5209197998,12155.984754757006
50,-62867.89750671387,10655.507109527587
51,71707.53462219238,11852.60568820729
52,28730.267486572266,12177.176107406616
53,61161.721618652344,13101.41281516597
54,71787.4140625,14188.190616042526
55,57975.07409667969,14984.31577023593
56,83740.84384155273,16212.110914366585
57,69630.04077148438,17149.267578526546
58,69628.56393432617,18054.083032936884
59,66064.59085083008,18867.820453579145
60,-69503.81475830078,17394.95986671448
61,-15929.770629882812,16848.65280939321
62,-8262.315460205078,16443.637192141625
63,-27090.516967773438,15752.618872142973
64,76580.85073852539,16703.0599950552
65,-8231.854736328125,16319.445922264686
66,-26496.223205566406,15670.723662752094
67,-24624.001342773438,15069.309856699474
68,60179.924156188965,15732.701243456671
69,65497.629821777344,16453.932092417843
70,-21721.57635498047,15908.567686026438
71,79174.72359466553,16799.640304457975
72,58454.554443359375,17378.18077860938
73,-18701.079345703125,16883.944338550307
74,-33857.03552246094,16198.255421509613
75,69499.32308959961,16908.936323750815
76,-18701.079345703125,16440.38348599484
77,-55530.350006103516,15505.698635448109
78,70753.61596679688,16214.005267901299
79,80187.0329284668,17023.79042816162
80,91529.456199646,17955.111250305177
81,83203.81072998047,18760.650750054254
82,72243.21353149414,19412.877125437666
83,49603.87880706787,19776.62413365008
84,58262.13737487793,20234.785005569458
85,72124.80828857422,20845.255867722455
86,-27269.652282714844,20285.78019155458
87,56939.922271728516,20707.092169487612
88,14811.008361816406,20640.091217127712
89,74335.7544555664,21243.413275986575
90,64153.027404785156,21720.18676630656
91,63237.13720703125,22176.41699092991
92,-18228.14227294922,21737.23699893122
93,3545.701690673828,21541.62909239082
94,47030.98889160156,21812.792494510082
95,54236.79069519043,22154.09773872777
96,69630.04077148438,22648.638811985653
97,57949.287353515625,23012.563023754003
98,66927.9096069336,23460.67880521502
99,65497.629821777344,23885.29447204898
100,-37963.802734375,23266.80349998474
101,-59112.6552734375,22451.165294307295
102,57170.113525390625,22791.54713971007
103,-23547.700927734375,22341.651527404785
104,-5023.935729980469,22078.520880699158
105,-36198.9577331543,21523.497274852933
106,-64055.956298828125,20716.143939252168
107,68178.12115478516,21159.71381977117
108,-34260.72578430176,20646.56160121494
109,51158.57286071777,20926.488310017718
110,103628.65049743652,21678.32614808516
111,11092.194625854492,21582.95559383083
112,121058.26058959961,22471.12795986448
113,101878.80122375488,23173.8507321113
114,194475.21434783936,24676.49427260014
115,88188.90174865723,25228.776076739767
116,216951.9058227539,26881.56167799851
117,-84205.78527832031,25932.097174098348
118,88469.48899841309,26462.075070914576
119,-154173.47189331055,24944.12929810596
120,67236.94554138184,25296.569433466593
121,24057.22296142578,25286.32690063981
122,55530.5549621582,25534.23040934078
123,64840.98946380615,25853.797556125053
124,-70899.57264709473,25073.528441582956
125,119936.27868652344,25832.430443542482
