Date,Close,High,Low,Open,Volume,symbol,RSI_14,MACD,MACD_signal,MACD_hist
2024-11-01,221.6625061035156,224.08885327131992,219.03728125399172,219.73336072670745,65276700,AAPL,,,,
2024-11-01,248.97999572753903,254.0,246.6300048828125,252.0399932861328,57544800,TSLA,,,,
2024-11-01,197.92999267578125,200.5,197.0200042724609,199.0,99687800,AMZN,,,,
2024-11-01,135.36119079589844,137.2706470867555,134.53144208222884,134.6613944536623,207127800,NVDA,,,,
2024-11-01,565.3822021484375,571.8718061959343,560.7966452513473,565.8308037858104,15303200,META,,,,
2024-11-01,170.53790283203125,171.56339434249736,168.13849607004246,169.3232735157594,31796500,GOOGL,,,,
2024-11-01,406.5511474609375,411.6334132123408,403.7078601300334,405.2038179490663,24230400,MSFT,,,,
2024-11-04,558.9225463867188,566.9074488502787,556.1413135198851,562.3318093918443,12064600,META,,,,
2024-11-04,242.83999633789065,248.8999938964844,238.8800048828125,244.55999755859372,68802400,TSLA,,,,
2024-11-04,220.7675323486328,221.5431659237015,218.48041626355015,219.7532516264011,44944500,AAPL,,,,
2024-11-04,195.77999877929688,197.3300018310547,194.30999755859372,196.4499969482422,38492100,AMZN,,,,
2024-11-04,168.49691772460938,169.98036580888692,167.2723073887744,169.18387535736116,21492700,GOOGL,,,,
2024-11-04,404.658935546875,406.6007179042562,401.79584509345045,405.9864621175824,19672300,MSFT,,,,
2024-11-04,136.01100158691406,138.9201710380497,135.53114345978716,137.17067271068436,187528200,NVDA,,,,
2024-11-05,222.19944763183597,222.6966493563079,219.90237809251832,220.55868801043547,28111300,AAPL,,,,
2024-11-05,199.5,199.82000732421875,195.9900054931641,196.0399932861328,30564800,AMZN,,,,
2024-11-05,139.86988830566406,140.32974787080795,137.29062621937655,137.41058693125512,160537400,NVDA,,,,
2024-11-05,251.44000244140625,255.27999877929688,246.2100067138672,247.33999633789065,69282500,TSLA,,,,
2024-11-05,168.9947509765625,169.7812757458724,168.0986933699296,168.68609929058584,18242100,GOOGL,,,,
2024-11-05,407.6310119628906,411.03900230330345,404.2824608535884,404.56977062634746,17626000,MSFT,,,,
2024-11-05,570.6356811523438,571.6823777040769,564.8937264362966,565.5217565361041,9775400,META,,,,
2024-11-06,207.08999633789065,207.5500030517578,199.13999938964844,200.00999450683597,72292200,AMZN,,,,
2024-11-06,570.2568969726562,571.2039313662027,553.4298024690905,560.9860599935962,18305400,META,,,,
2024-11-06,145.56825256347656,146.44800513885863,141.91930516184587,142.91901845044762,242043900,NVDA,,,,
2024-11-06,288.5299987792969,289.5899963378906,275.6199951171875,284.6700134277344,165228700,TSLA,,,,
2024-11-06,175.73500061035156,176.16312052987965,172.7382219408271,173.03690778369432,33695500,GOOGL,,,,
2024-11-06,416.2698974609375,416.537404254562,406.6997874985592,408.5821307366994,26681800,MSFT,,,,
2024-11-06,221.47357177734372,224.80482991830564,219.9521354779156,221.36418677402693,54561100,AAPL,,,,
2024-11-07,179.95639038085938,180.28494329004707,176.41202351829116,176.63105879108298,25352900,GOOGL,,,,
2024-11-07,148.83734130859375,148.88731477688594,146.1281111837162,146.3480493601011,207323300,NVDA,,,,
2024-11-07,421.4710083007813,422.8778073076485,415.97266781837374,417.3596335925896,19901800,MSFT,,,,
2024-11-07,296.9100036621094,299.75,285.5199890136719,288.8900146484375,117309200,TSLA,,,,
2024-11-07,226.20692443847656,226.6046949785728,223.31322152292373,223.37288331058951,42137700,AAPL,,,,
2024-11-07,210.0500030517578,212.25,207.19000244140625,207.44000244140625,52878400,AMZN,,,,
2024-11-07,589.8453369140625,592.9355956705097,573.40703432011,575.0817610826855,14653700,META,,,,
2024-11-08,177.5669403076172,180.1057320918823,177.29812151933496,179.85682974504894,22006200,GOOGL,,,,
2024-11-08,147.58766174316406,149.72704733961325,146.21804431265082,148.72733415894703,175665800,NVDA,,,,
2024-11-08,208.17999267578125,209.9600067138672,207.44000244140625,209.72000122070312,36075800,AMZN,,,,
2024-11-08,587.49267578125,591.2408385392584,582.6877772996389,589.6857309644336,9415700,META,,,,
2024-11-08,418.6079406738281,422.5310812867246,417.8550033981939,421.3620693729889,16891400,MSFT,,,,
2024-11-08,225.93814086914065,227.63048374280507,225.39061415381417,226.1471868576639,38328800,AAPL,,,,
2024-11-08,321.2200012207031,328.7099914550781,297.6600036621094,299.1400146484375,204782800,TSLA,,,,
2024-11-11,206.83999633789065,209.6499938964844,205.58999633789065,208.5,35456000,AMZN,,,,
2024-11-11,223.2204132080078,224.6837958336773,220.5027091275161,223.98695058099835,42005600,AAPL,,,,
2024-11-11,581.3419799804688,585.1599915098993,574.7028831683562,584.5219830495145,10209100,META,,,,
2024-11-11,179.5581512451172,179.7572700755342,177.68640081725275,177.79591845275107,17450400,GOOGL,,,,
2024-11-11,350.0,358.6400146484375,336.0,346.29998779296875,210521600,TSLA,,,,
2024-11-11,145.21835327148438,148.8073357305937,143.52885055228916,148.6373710400852,182325600,NVDA,,,,
2024-11-11,414.1200866699219,420.8567950462537,412.1287816798458,418.58809689323664,24503300,MSFT,,,,
2024-11-12,180.82257080078125,181.68876129211964,178.60236613626623,179.03048606955645,25134900,GOOGL,,,,
2024-11-12,419.0933532714844,420.4902356783672,413.3176195666668,414.35783635110096,19401200,MSFT,,,,
2024-11-12,148.24746704101562,149.60707763368606,145.96812211424654,146.73790556674717,198634700,NVDA,,,,
2024-11-12,223.2204132080078,224.57429049467865,222.35433519325588,223.53897971785375,40398300,AAPL,,,,
2024-11-12,328.489990234375,345.8399963378906,323.3099975585937,342.739990234375,155726000,TSLA,,,,
2024-11-12,208.91000366210935,209.5399932861328,206.00999450683597,208.3699951171875,38942900,AMZN,,,,
2024-11-12,582.9868774414062,597.7803270952668,578.560792275492,586.6951878227678,16287700,META,,,,
2024-11-13,224.10641479492188,225.62952490733252,221.75703985190805,223.0014118515957,48566200,AAPL,,,,
2024-11-13,178.0946044921875,180.16547375277025,177.75608576913012,179.66766908027805,23184000,GOOGL,,,,
2024-11-13,421.2431640625,425.33470549985367,414.3181914052048,417.716295312302,21502200,MSFT,,,,
2024-11-13,578.1819458007812,583.8042813935028,573.3670687675797,580.7837499543639,10757600,META,,,,
2024-11-13,146.2280731201172,149.28719347067064,145.8581688148386,149.02727349633594,191903300,NVDA,,,,
2024-11-13,214.1000061035156,215.08999633789065,209.13999938964844,209.3999938964844,46212900,AMZN,,,,
2024-11-13,330.239990234375,344.6000061035156,322.5,335.8500061035156,125405600,TSLA,,,,
2024-11-14,174.80909729003906,178.03487716000262,173.55463493650558,177.49723958577857,31007500,GOOGL,,,,
2024-11-14,311.17999267578125,329.9800109863281,310.3699951171875,327.69000244140625,120726100,TSLA,,,,
2024-11-14,146.71792602539062,148.95728942511607,145.50828141212895,147.59767865642831,194463300,NVDA,,,,
2024-11-14,422.91748046875,424.1855678921326,416.0915826132808,421.04505383486753,30246900,MSFT,,,,
2024-11-14,575.3508911132812,578.939643581166,571.213935608324,575.1914193973914,11053700,META,,,,
2024-11-14,227.19244384765625,227.83951115568564,223.98694063754752,224.00685484105065,44923900,AAPL,,,,
2024-11-14,211.47999572753903,215.8999938964844,210.8800048828125,214.16000366210935,42620300,AMZN,,,,
2024-11-15,202.6100006103516,207.33999633789065,199.6100006103516,206.75999450683597,86591100,AMZN,,,,
2024-11-15,411.1380920410156,418.86549468955633,409.7907624442804,415.91324532993855,28247600,MSFT,,,,
2024-11-15,552.34326171875,570.775295360466,549.7713316531629,569.4294904085906,17712900,META,,,,
2024-11-15,320.7200012207031,324.67999267578125,309.2200012207031,310.57000732421875,114440300,TSLA,,,,
2024-11-15,141.9392852783203,145.19836028928967,140.03983617411208,144.8284560077565,250132900,NVDA,,,,
2024-11-15,171.73265075683594,173.37539999767293,170.46822271325942,172.9671965454628,32504600,GOOGL,,,,
2024-11-15,223.9869537353516,225.89830725108277,223.26024476090137,225.3806442603365,47923700,AAPL,,,,
2024-11-18,552.6622314453125,558.144991436461,548.3657437769115,555.2939099997465,14327300,META,,,,
2024-11-18,338.739990234375,348.54998779296875,330.010009765625,340.7300109863281,126085600,TSLA,,,,
2024-11-18,174.5303192138672,174.6697039128958,172.1408476982141,172.6585688053745,20135300,GOOGL,,,,
2024-11-18,226.9933624267578,228.70561947942852,224.1561882479486,224.2358298771528,44633700,AAPL,,,,
2024-11-18,140.10980224609375,141.50940991238423,137.1106625740026,139.45999475223928,221205300,NVDA,,,,
2024-11-18,201.6999969482422,204.6699981689453,200.9499969482422,204.1499938964844,36409900,AMZN,,,,
2024-11-18,411.89105224609375,414.50646935219214,408.2651076525754,411.0093198489206,24727000,MSFT,,,,
2024-11-19,227.25218200683597,229.12372228231885,225.63948081886545,225.9580321395358,36211800,AAPL,,,,
2024-11-19,559.3312377929688,559.6701379586843,548.8740685683052,550.130128715708,9522400,META,,,,
2024-11-19,146.9678497314453,147.08782570288798,140.94958652618317,141.2794937524248,227834900,NVDA,,,,
2024-11-19,204.6100006103516,205.3000030517578,198.77999877929688,199.3300018310547,31197900,AMZN,,,,
2024-11-19,413.9021606445313,414.0507587358417,407.7202079437107,409.2656885605185,18133500,MSFT,,,,
2024-11-19,346.0,347.3800048828125,332.75,335.760009765625,88852500,TSLA,,,,
2024-11-19,177.3379364013672,178.08464343003916,172.7979600977284,172.95726124320882,23434900,GOOGL,,,,
2024-11-20,411.6235046386719,413.4067722571845,406.75919271133495,412.9906674094557,19191700,MSFT,,,,
2024-11-20,175.2073211669922,176.89985394642653,173.01698373526585,176.56135042889815,18997100,GOOGL,,,,
2024-11-20,227.96896362304688,228.89476915350485,224.872965299864,227.03319339435467,35169600,AAPL,,,,
2024-11-20,563.7473754882812,564.5747300141007,552.4628511582212,561.1654671706501,9797300,META,,,,
2024-11-20,145.84817504882812,147.5176944558783,142.68907730947365,147.36774356025674,309871700,NVDA,,,,
2024-11-20,202.8800048828125,203.1300048828125,199.4499969482422,202.97999572753903,32769000,AMZN,,,,
2024-11-20,342.0299987792969,346.6000061035156,334.29998779296875,345.0,66340700,TSLA,,,,
2024-11-21,339.6400146484375,347.989990234375,335.2799987792969,343.8099975585937,58011700,TSLA,73.0335410353259,,,
2024-11-21,561.3250122070312,568.2133259307972,547.3289818703621,567.7348499684634,11154700,META,47.81303277572079,,,
2024-11-21,146.62796020507812,152.84617867409492,140.65967008206871,149.30720000657334,400946600,NVDA,64.82503590916957,,,
2024-11-21,227.4911193847656,229.1237348668511,224.69377351516383,227.8494991340082,42108300,AAPL,63.0044898009208,,,
2024-11-21,198.3800048828125,203.4900054931641,195.75,203.4900054931641,58800000,AMZN,50.46460044550728,,,
2024-11-21,166.8939971923828,173.36545785068716,162.98124461770655,173.1364567662256,59734400,GOOGL,45.8858172012593,,,
2024-11-21,409.84661865234375,416.70602153771694,407.2855248811401,416.428073141663,20780200,MSFT,53.082668475399956,,,
2024-11-22,164.03659057617188,165.7291386198519,163.18036592990532,165.12181631038618,38604600,GOOGL,42.90451382456587,,,
2024-11-22,352.5599975585937,361.5299987792969,337.70001220703125,341.0899963378906,89140700,TSLA,74.81418667979611,,,
2024-11-22,141.9093017578125,147.1178148315253,141.05955459424152,145.88815647311117,236406200,NVDA,57.17853734164525,,,
2024-11-22,197.1199951171875,199.25999450683597,196.75,198.25,31530800,AMZN,49.08919780877874,,,
2024-11-22,228.83502197265625,229.68120098473537,227.0331737980822,227.0331737980822,38168300,AAPL,65.2487877135689,,,
2024-11-22,413.9463806152344,414.3434454251094,408.04987579157546,408.3576032912864,24814600,MSFT,56.66237733415007,,,
2024-11-22,557.3873901367188,562.0626917643333,552.8516642815921,561.7835402193574,9164000,META,45.72278247055843,,,
2024-11-25,166.9138946533203,167.88960271467622,164.88285834642193,165.36074656125817,33135300,GOOGL,46.6625289194871,,,
2024-11-25,231.821533203125,232.19982717145672,228.70563588373935,230.41789305922475,90152800,AAPL,69.65441757595336,,,
2024-11-25,201.4499969482422,201.9499969482422,199.0,199.27999877929688,40685700,AMZN,53.753832263666844,,,
2024-11-25,563.338623046875,570.7952180290404,554.6459854785412,560.3380482903169,13599800,META,49.328357875626786,,,
2024-11-25,415.7232971191406,417.99650611752486,411.812146489521,415.3162958278843,27691100,MSFT,58.15268211288382,,,
2024-11-25,135.9810028076172,142.0092725854583,135.78106320516017,141.9492922301626,344941900,NVDA,49.30910818677237,,,
2024-11-25,338.5899963378906,361.9299926757813,338.20001220703125,360.1400146484375,95890900,TSLA,69.47241679432182,,,
2024-11-26,168.37744140625,169.07438007569232,166.84420975542025,166.8939932592079,20486700,GOOGL,48.518674302829275,,,
2024-11-26,338.2300109863281,346.9599914550781,335.6600036621094,341.0,62295900,TSLA,69.33503568210668,,,
2024-11-26,234.0016632080078,234.509376705192,232.27945661483372,232.27945661483372,45986200,AAPL,72.40469307477947,,,
2024-11-26,136.88075256347656,139.26007526155422,135.63111085304342,137.66052777043362,190287700,NVDA,50.42431455501034,,,
2024-11-26,424.8559265136719,425.8982558025869,415.78287220202776,416.5174436728799,23458900,MSFT,64.84414626288437,,,
2024-11-26,571.7421875,575.6897965803327,563.4283637310257,564.2258439211572,10356600,META,53.97745781974454,,,
2024-11-26,207.8600006103516,208.0,201.7899932861328,201.8999938964844,41673700,AMZN,59.64806075830551,,,
2024-11-27,205.7400054931641,207.63999938964844,205.0500030517578,206.97999572753903,28061600,AMZN,57.05789116799266,,,
2024-11-27,332.8900146484375,342.54998779296875,326.5899963378906,341.79998779296875,57896400,TSLA,67.21178693559455,,,
2024-11-27,419.89251708984375,424.10148899734514,418.929618998767,421.9969878965425,18332400,MSFT,59.29483199395802,,,
2024-11-27,567.4158935546875,573.1777448997434,562.3318426508605,573.0880610711642,7200200,META,51.36466178455999,,,
2024-11-27,168.48696899414062,168.73587133599466,167.28229016697128,168.25798309333703,19266500,GOOGL,48.662658407817496,,,
